id,poemLen,headingLeak,nonHan,sample
70,4,false,false,"雷發庭前草 / 炎火向天飛 / 一心來趕祿 / 爭奈掩朱扉"
71,4,false,false,"道業未成時 / 何期兩不宜 / 事煩心緒亂 / 做徘徊思"
72,4,false,false,"戶內防重厄 / 花菓見分枝 / 嚴霜纔過後 / 方可始相宜"
73,4,false,false,"久暗漸分明 / 登江綠水澄 / 芝書從遠降 / 終得異人成"
74,4,false,false,"蛇虎正交羅 / 牛生二尾多 / 交歲方成慶 / 上下不能和"
75,4,false,false,"孤舟欲過岸 / 浪急渡人空 / 女人立流水 / 望月意情濃"
76,4,false,false,"富貴天之祐 / 何須苦用心 / 前程應顯跡 / 久用得高臨"
77,4,false,false,"累滯未能穌 / 求名莫遠圖 / 登舟波浪急 / 咫尺隔天衢"
78,4,false,false,"但存公道正 / 何愁理去忠 / 松柏蒼蒼翠 / 前山祿馬重"
79,4,false,false,"殘月未還光 / 樽前非語傷 / 戶中有人厄 / 祈福保青陽"
80,4,false,false,"深山多養道 / 忠正帝王宣 / 鳳遂鸞飛去 / 昇高過九天"
81,4,false,false,"道合須成合 / 先憂事更多 / 所求財寶盛 / 更變得中和"
82,4,false,true,"： 罪。見說文解字，過錯、罪過的意思，為「 愆 」之異體（音ㄑ / ㄧㄢ）。 http://140.111.1.40/yitin/ / frn/frn00188.htm http://140.111 / .1.40/yitib/frb/frb01150.htm"
83,4,false,false,"舉步出雲端 / 高枝未可攀 / 昇頭看皎月 / 猶在黑雲間"
84,4,false,false,"否極方無泰 / 花開值晚秋 / 人情不調備 / 財寶鬼來偷"
85,4,false,false,"望用何愁晚 / 求名漸得寧 / 雲梯終有望 / 歸路入蓬瀛"
86,4,false,false,"花發應陽臺 / 車行進寶財 / 執文朝帝殿 / 走馬聽聲雷"
87,4,false,false,"鑿石方逢玉 / 淘沙始見金 / 青霄終有路 / 只恐不堅心"
88,4,true,true,"作事不和同 / 佳人生苦根 / 閑慮兩三重 / 第八十八 凶 作事不和同 就算想做些什麼事，卻和人或者夫婦之間是不和睦的狀態。 臨危更主凶 因為在這樣的狀態"
89,4,false,false,"一片無瑕玉 / 從今好琢磨 / 得遇高人識 / 方逢喜氣多"
90,4,false,false,"一信向天飛 / 秦川舟自歸 / 前途成好事 / 應得貴人推"
91,4,false,false,"改變前途去 / 月桂又逢圓 / 雲中乘祿至 / 凡事可宜先"
92,4,false,false,"自幼常為旅 / 逢春駿馬驕 / 前程宜進步 / 得箭降青霄"
93,4,false,false,"有魚臨旱池 / 跳躍入波濤 / 隔中須有望 / 先且慮塵勞"
94,4,false,false,"事忌樽前語 / 人防小輩交 / 幸乞陰公祐 / 方免事敵爻"
95,4,false,false,"志氣勤修業 / 祿位未造逢 / 若聞金雞語 / 乘船得便風"
96,4,false,false,"雞逐鳳同飛 / 高林整羽儀 / 棹舟須濟岸 / 寶貨滿船歸"
97,4,false,false,"霧罩重樓屋 / 佳人水上行 / 白雲歸去路 / 不見月波澄"
98,4,false,false,"欲理新絲亂 / 閑愁足是非 / 只困羅網裡 / 相見幾人悲"
99,4,false,false,"紅日當門照 / 暗月再重圓 / 遇珍須得寶 / 頗有稱心田"
100,4,false,false,"祿走白雲間 / 攜琴走遠山 / 不遇神仙面 / 空惹意闌珊"
